"inventory_id","film_id","store_id","last_update"
1,1,1,"2006-02-15 05:09:17"
2,1,1,"2006-02-15 05:09:17"
3,1,1,"2006-02-15 05:09:17"
4,1,1,"2006-02-15 05:09:17"
5,1,2,"2006-02-15 05:09:17"
6,1,2,"2006-02-15 05:09:17"
7,1,2,"2006-02-15 05:09:17"
8,1,2,"2006-02-15 05:09:17"
9,2,2,"2006-02-15 05:09:17"
10,2,2,"2006-02-15 05:09:17"
11,2,2,"2006-02-15 05:09:17"
12,3,2,"2006-02-15 05:09:17"
13,3,2,"2006-02-15 05:09:17"
14,3,2,"2006-02-15 05:09:17"
15,3,2,"2006-02-15 05:09:17"
16,4,1,"2006-02-15 05:09:17"
17,4,1,"2006-02-15 05:09:17"
18,4,1,"2006-02-15 05:09:17"
19,4,1,"2006-02-15 05:09:17"
20,4,2,"2006-02-15 05:09:17"
21,4,2,"2006-02-15 05:09:17"
22,4,2,"2006-02-15 05:09:17"
23,5,2,"2006-02-15 05:09:17"
24,5,2,"2006-02-15 05:09:17"
25,5,2,"2006-02-15 05:09:17"
26,6,1,"2006-02-15 05:09:17"
27,6,1,"2006-02-15 05:09:17"
28,6,1,"2006-02-15 05:09:17"
29,6,2,"2006-02-15 05:09:17"
30,6,2,"2006-02-15 05:09:17"
31,6,2,"2006-02-15 05:09:17"
32,7,1,"2006-02-15 05:09:17"
33,7,1,"2006-02-15 05:09:17"
34,7,2,"2006-02-15 05:09:17"
35,7,2,"2006-02-15 05:09:17"
36,7,2,"2006-02-15 05:09:17"
37,8,2,"2006-02-15 05:09:17"
38,8,2,"2006-02-15 05:09:17"
39,8,2,"2006-02-15 05:09:17"
40,8,2,"2006-02-15 05:09:17"
41,9,1,"2006-02-15 05:09:17"
42,9,1,"2006-02-15 05:09:17"
43,9,1,"2006-02-15 05:09:17"
44,9,2,"2006-02-15 05:09:17"
45,9,2,"2006-02-15 05:09:17"
46,10,1,"2006-02-15 05:09:17"
47,10,1,"2006-02-15 05:09:17"
48,10,1,"2006-02-15 05:09:17"
49,10,1,"2006-02-15 05:09:17"
50,10,2,"2006-02-15 05:09:17"
51,10,2,"2006-02-15 05:09:17"
52,10,2,"2006-02-15 05:09:17"
53,11,1,"2006-02-15 05:09:17"
54,11,1,"2006-02-15 05:09:17"
55,11,1,"2006-02-15 05:09:17"
56,11,1,"2006-02-15 05:09:17"
57,11,2,"2006-02-15 05:09:17"
58,11,2,"2006-02-15 05:09:17"
59,11,2,"2006-02-15 05:09:17"
60,12,1,"2006-02-15 05:09:17"
61,12,1,"2006-02-15 05:09:17"
62,12,1,"2006-02-15 05:09:17"
63,12,2,"2006-02-15 05:09:17"
64,12,2,"2006-02-15 05:09:17"
65,12,2,"2006-02-15 05:09:17"
66,12,2,"2006-02-15 05:09:17"
67,13,2,"2006-02-15 05:09:17"
68,13,2,"2006-02-15 05:09:17"
69,13,2,"2006-02-15 05:09:17"
70,13,2,"2006-02-15 05:09:17"
71,15,1,"2006-02-15 05:09:17"
72,15,1,"2006-02-15 05:09:17"
73,15,2,"2006-02-15 05:09:17"
74,15,2,"2006-02-15 05:09:17"
75,15,2,"2006-02-15 05:09:17"
76,15,2,"2006-02-15 05:09:17"
77,16,1,"2006-02-15 05:09:17"
78,16,1,"2006-02-15 05:09:17"
79,16,2,"2006-02-15 05:09:17"
80,16,2,"2006-02-15 05:09:17"
81,17,1,"2006-02-15 05:09:17"
82,17,1,"2006-02-15 05:09:17"
83,17,1,"2006-02-15 05:09:17"
84,17,2,"2006-02-15 05:09:17"
85,17,2,"2006-02-15 05:09:17"
86,17,2,"2006-02-15 05:09:17"
87,18,1,"2006-02-15 05:09:17"
88,18,1,"2006-02-15 05:09:17"
89,18,1,"2006-02-15 05:09:17"
90,18,2,"2006-02-15 05:09:17"
91,18,2,"2006-02-15 05:09:17"
92,18,2,"2006-02-15 05:09:17"
93,19,1,"2006-02-15 05:09:17"
94,19,1,"2006-02-15 05:09:17"
95,19,1,"2006-02-15 05:09:17"
96,19,1,"2006-02-15 05:09:17"
97,19,2,"2006-02-15 05:09:17"
98,19,2,"2006-02-15 05:09:17"
99,20,1,"2006-02-15 05:09:17"
100,20,1,"2006-02-15 05:09:17"

