"payment_id","customer_id","staff_id","rental_id","amount","payment_date","last_update"
1,1,1,76,2.99,"2005-05-25 11:30:37","2006-02-15 22:12:30"
2,1,1,573,0.99,"2005-05-28 10:35:23","2006-02-15 22:12:30"
3,1,1,1185,5.99,"2005-06-15 00:54:12","2006-02-15 22:12:30"
4,1,2,1422,0.99,"2005-06-15 18:02:53","2006-02-15 22:12:30"
5,1,2,1476,9.99,"2005-06-15 21:08:46","2006-02-15 22:12:30"
6,1,1,1725,4.99,"2005-06-16 15:18:57","2006-02-15 22:12:30"
7,1,1,2308,4.99,"2005-06-18 08:41:48","2006-02-15 22:12:30"
8,1,2,2363,0.99,"2005-06-18 13:33:59","2006-02-15 22:12:30"
9,1,1,3284,3.99,"2005-06-21 06:24:45","2006-02-15 22:12:30"
10,1,2,4526,5.99,"2005-07-08 03:17:05","2006-02-15 22:12:30"
11,1,1,4611,5.99,"2005-07-08 07:33:56","2006-02-15 22:12:30"
12,1,1,5244,4.99,"2005-07-09 13:24:07","2006-02-15 22:12:30"
13,1,1,5326,4.99,"2005-07-09 16:38:01","2006-02-15 22:12:30"
14,1,1,6163,7.99,"2005-07-11 10:13:46","2006-02-15 22:12:30"
15,1,2,7273,2.99,"2005-07-27 11:31:22","2006-02-15 22:12:30"
16,1,1,7841,4.99,"2005-07-28 09:04:45","2006-02-15 22:12:30"
17,1,2,8033,4.99,"2005-07-28 16:18:23","2006-02-15 22:12:30"
18,1,1,8074,0.99,"2005-07-28 17:33:39","2006-02-15 22:12:30"
19,1,2,8116,0.99,"2005-07-28 19:20:07","2006-02-15 22:12:30"
20,1,2,8326,2.99,"2005-07-29 03:58:49","2006-02-15 22:12:30"
21,1,2,9571,2.99,"2005-07-31 02:42:18","2006-02-15 22:12:30"
22,1,2,10437,4.99,"2005-08-01 08:51:04","2006-02-15 22:12:30"
23,1,2,11299,3.99,"2005-08-02 15:36:52","2006-02-15 22:12:30"
24,1,1,11367,0.99,"2005-08-02 18:01:38","2006-02-15 22:12:30"
25,1,2,11824,4.99,"2005-08-17 12:37:54","2006-02-15 22:12:30"
26,1,1,12250,0.99,"2005-08-18 03:57:29","2006-02-15 22:12:30"
27,1,2,13068,0.99,"2005-08-19 09:55:16","2006-02-15 22:12:30"
28,1,2,13176,2.99,"2005-08-19 13:56:54","2006-02-15 22:12:30"
29,1,1,14762,0.99,"2005-08-21 23:33:57","2006-02-15 22:12:30"
30,1,1,14825,1.99,"2005-08-22 01:27:57","2006-02-15 22:12:30"
31,1,2,15298,2.99,"2005-08-22 19:41:37","2006-02-15 22:12:30"
32,1,1,15315,5.99,"2005-08-22 20:03:46","2006-02-15 22:12:30"
33,2,1,320,4.99,"2005-05-27 00:09:24","2006-02-15 22:12:30"
34,2,1,2128,2.99,"2005-06-17 20:54:58","2006-02-15 22:12:30"
35,2,1,5636,2.99,"2005-07-10 06:31:24","2006-02-15 22:12:30"
36,2,1,5755,6.99,"2005-07-10 12:38:56","2006-02-15 22:12:30"
37,2,2,7346,4.99,"2005-07-27 14:30:42","2006-02-15 22:12:30"
38,2,1,7376,5.99,"2005-07-27 15:23:02","2006-02-15 22:12:30"
39,2,2,7459,5.99,"2005-07-27 18:40:20","2006-02-15 22:12:30"

