1;;302;;columnDisplaySize;;38
2;;404;;columnDisplaySize;;30
3;;434;;columnDisplaySize;;17
4;;2542;;columnDisplaySize;;1000
5;;2543;;columnDisplaySize;;1000
6;;2544;;columnDisplaySize;;1000
7;;386;;columnDisplaySize;;1000
8;;367;;columnDisplaySize;;1000000000
9;;367;;precision;;1000000000
10;;402;;columnDisplaySize;;23
11;;402;;precision;;23
12;;390;;columnDisplaySize;;10
13;;390;;precision;;10
14;;399;;columnDisplaySize;;10
15;;399;;precision;;10
16;;365;;columnDisplaySize;;1000000000
17;;365;;precision;;1000000000
18;;397;;columnDisplaySize;;17
19;;397;;precision;;17
20;;386;;columnDisplaySize;;10
21;;386;;precision;;10
22;;371;;columnDisplaySize;;1000000000
23;;371;;precision;;1000000000
24;;372;;columnDisplaySize;;1000000000
25;;372;;precision;;1000000000
26;;373;;columnDisplaySize;;1000000000
27;;373;;precision;;1000000000
28;;379;;columnDisplaySize;;0
29;;379;;precision;;0
30;;369;;columnDisplaySize;;10
31;;369;;precision;;10
